column,n_observed,n_missing,q1,q3,iqr,iqr_lower,iqr_upper,mean,std_population,z_lower,z_upper,status,iqr_n,iqr_pct,z_n,z_pct,both_n,both_pct,either_n,either_pct,iqr_only_n,iqr_only_pct,z_only_n,z_only_pct
Mathematics,1003373,18687,5.2,7.6,2.3999999999999995,1.600000000000001,11.2,6.250557469654853,1.633335093250404,1.3505521899036408,11.150562749406067,ok,1965,0.19583943359049924,371,0.036975282372557365,371,0.036975282372557365,1965,0.19583943359049924,1594,0.1588641512179419,0,0.0
Literature,1008239,13821,6.0,7.75,1.75,3.375,10.375,6.8581939202907245,1.326469990166709,2.8787839497905976,10.837603890790852,ok,11697,1.1601415934118795,5598,0.5552254971291529,5598,0.5552254971291529,11697,1.1601415934118795,6099,0.6049160962827266,0,0.0
Foreign language,880997,141063,4.0,7.0,3.0,-0.5,11.5,5.46241042818534,1.9663520567264199,-0.43664574199392003,11.3614665983646,ok,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Physics,327189,694871,5.5,7.75,2.25,2.125,11.125,6.57389994773663,1.4868163342716638,2.113450944921638,11.034348950551621,ok,481,0.14700983223763636,481,0.14700983223763636,481,0.14700983223763636,481,0.14700983223763636,0,0.0,0,0.0
Chemistry,328118,693942,5.75,7.75,2.0,2.75,10.75,6.744645981019024,1.4284655134775104,2.4592494405864924,11.030042521451556,ok,1706,0.5199349014683742,985,0.30019688039059117,985,0.30019688039059117,1706,0.5199349014683742,721,0.21973802107778298,0,0.0
Biology,324625,697435,5.5,7.25,1.75,2.875,9.875,6.394932614555256,1.206769877020055,2.7746229834950915,10.015242245615422,ok,1357,0.41802079322294955,1222,0.3764343473238352,1222,0.3764343473238352,1357,0.41802079322294955,135,0.041586445899114366,0,0.0
History,683447,338613,5.0,7.25,2.25,1.625,10.625,6.025629273374527,1.5529294581475777,1.3668408989317937,10.68441764781726,ok,270,0.03950562369869207,117,0.017119103602766566,117,0.017119103602766566,270,0.03950562369869207,153,0.022386520095925507,0,0.0
Geography,682134,339926,5.5,7.0,1.5,3.25,9.25,6.147522700818314,1.1687307991684097,2.641330303313085,9.653715098323543,ok,6627,0.9715099965695889,2332,0.3418683132639628,2332,0.3418683132639628,6627,0.9715099965695889,4295,0.6296416833056262,0,0.0
Civic education,565452,456608,7.75,9.25,1.5,5.5,11.5,8.285804542206943,1.1376366486357845,4.87289459629959,11.698714488114296,ok,10754,1.90184135877139,5492,0.971258391516875,5492,0.971258391516875,10754,1.90184135877139,5262,0.930582967254515,0,0.0
