exam_year,exam_council_code,exam_council_name,source_code,source_name,provenance,source_check
2023,46,Sở GDĐT Tây Ninh,46,Sở GDĐT Tây Ninh,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,47,Sở GDĐT Bình Thuận,47,Sở GDĐT Bình Thuận,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,48,Sở GDĐT Đồng Nai,48,Sở GDĐT Đồng Nai,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,49,Sở GDĐT Long An,49,Sở GDĐT Long An,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,50,Sở GDĐT Đồng Tháp,50,Sở GDĐT Đồng Tháp,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,51,Sở GDĐT An Giang,51,Sở GDĐT An Giang,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,52,Sở GDĐT Bà Rịa-Vũng Tàu,52,Sở GDĐT Bà Rịa-Vũng Tàu,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,53,Sở GDĐT Tiền Giang,53,Sở GDĐT Tiền Giang,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,54,Sở GDĐT Kiên Giang,54,Sở GDĐT Kiên Giang,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,55,Sở GDĐT Cần Thơ,55,Sở GDĐT Cần Thơ,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,56,Sở GDĐT Bến Tre,56,Sở GDĐT Bến Tre,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,57,Sở GDĐT Vĩnh Long,57,Sở GDĐT Vĩnh Long,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,58,Sở GDĐT Trà Vinh,58,Sở GDĐT Trà Vinh,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,59,Sở GDĐT Sóc Trăng,59,Sở GDĐT Sóc Trăng,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,60,Sở GDĐT Bạc Liêu,60,Sở GDĐT Bạc Liêu,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,61,Sở GDĐT Cà Mau,61,Sở GDĐT Cà Mau,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,62,Sở GDĐT Điện Biên,62,Sở GDĐT Điện Biên,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,63,Sở GDĐT Đăk Nông,63,Sở GDĐT Đăk Nông,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,64,Sở GDĐT Hậu Giang,64,Sở GDĐT Hậu Giang,Bảng Báo Chính phủ ngày 17/07/2023,government_name_matched
2023,65,Cục Nhà trường -Bộ Quốc phòng,,,"Phụ lục VIII, Công văn 1515/BGDĐT-QLCL",supplemental_pdf_registry
