source_row,Student ID,column,value,z_score,abs_z,iqr_flag,z_flag
331,01000330,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
438,01000437,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
472,01000471,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
513,01000512,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
533,01000532,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
1036,01001035,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
1039,01001038,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
1041,01001040,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
1616,01001615,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
1796,01001795,Mathematics,1.0,-3.214623558479986,3.214623558479986,True,True
2488,01002487,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
3132,01003131,Mathematics,0.8,-3.337072406133159,3.337072406133159,True,True
3246,01003245,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
3303,01003302,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
3693,01003692,Mathematics,0.8,-3.337072406133159,3.337072406133159,True,True
5711,01005710,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
6740,01006739,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
9509,01009508,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
9662,01009661,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
10187,01010186,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
11548,01011547,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
13545,01013544,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
14048,01014047,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
14082,01014081,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
15025,01015024,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
15792,01015791,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
16495,01016494,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
17606,01017605,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
18191,01018190,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
18366,01018365,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
21162,01021161,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
22287,01022286,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
22769,01022768,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
24381,01024380,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
24478,01024477,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
24603,01024602,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
28864,01028863,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
29046,01029045,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
29087,01029086,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
35925,01035924,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
35955,01035954,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
35996,01035995,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
36016,01036015,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
36458,01036457,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
36460,01036459,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
36463,01036462,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
38461,01038460,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
42114,01042113,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
42131,01042130,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
42134,01042133,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
42672,01042671,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
42681,01042680,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
42701,01042700,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
43088,01043087,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
43105,01043104,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
43136,01043135,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
43196,01043195,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
44206,01044205,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
44213,01044212,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
44318,01044317,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
44334,01044333,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
44346,01044345,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
44363,01044362,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
44697,01044696,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
44703,01044702,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
44707,01044706,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
44808,01044807,Mathematics,1.2,-3.0921747108268125,3.0921747108268125,True,True
45257,01045256,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
45735,01045734,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
45747,01045746,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
45750,01045749,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
46347,01046346,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
48406,01048405,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
50197,01050196,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
51467,01051466,Mathematics,1.4,-2.96972586317364,2.96972586317364,True,False
52673,01052672,Mathematics,0.8,-3.337072406133159,3.337072406133159,True,True
52683,01052682,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
52703,01052702,Mathematics,1.6,-2.8472770155204663,2.8472770155204663,True,False
