column,distinct_before,distinct_after,missing_before,missing_after,changed_rows,invalid_before,invalid_after,rule
Student ID,1022060,1022060,0,0,0,0,0,NFKC; strip; collapse whitespace
Foreign language code,7,7,141063,141063,0,0,0,NFKC; strip; collapse whitespace; uppercase
