status,n_total,n_observed,n_missing,mean,std_sample,n_imputed,delta_mean_vs_published,delta_std_vs_published
published_math_only,1022060,1003373,18687,6.250557469654853,1.6333359071731997,,,
hypothetical_global_median,1022060,1022060,0,6.256946558910436,1.619012364728175,18687.0,0.006389089255582903,-0.014323542445024762
hypothetical_group_median,1022060,1022060,0,6.246202962644072,1.619372518297511,18687.0,-0.004354507010781106,-0.01396338887568871
